Identifier,Title,Tags
111612-21827322,AIM Seminar:  Hydrodynamic Solitons and Breathers - From Theory to Applications,Mathematics
113716-21831489,Alan J. Hunt Memorial Lecture-U-M Biomedical Engineering,"biomedical engineering
Biotechnology
bme
engineer
engineering
Lecture
Michigan Engineering
seminar"
113975-21831988,Exploring Employee Ownership,"Business
Corporate
Entrepreneur Services
Graduate Students
Social Impact
Social Justice
Undergraduate Students"
108165-21819071,"ForALL Preview Symposium - Lucas Gomes, Sally Keating and Diana Velazquez, University of Michigan",Natural Sciences
113475-21831058,Democracy in Crisis: Views from the Press,"In Person
Lecture
Politics"
113937-21831937,GEOMETRY SEMINAR: Dimension drop for large deviations in homogeneous dynamics,Mathematics
109134-21821113,Linguistics Colloquium,"Free
Talk"
110827-21825642,"“Looking Both Ways” – Exhibition Tour of Hear Me Now: The Black Potters of Old Edgefield, South Carolina","Africa
Art
Discussion
Exhibition
Museum
Tour
UMMA"
114045-21832249,Veterans Week 2023,"Diversity Equity and Inclusion
military
Military Families
veteran
Veteran And Military
Veterans Week"
109913-21823223,"Using Hip-Hop Artifacts to Understand Hip-Hop Culture and its Connection to Broader Black Social, Cultural, and Political Movements","Activism
African American
african and african american studies
african and afroamerican studies
american culture
Culture
Diversity
Diversity Equity and Inclusion
Hip Hop
history
Theme Semester"
108972-21820665,"Conversations on Europe. A New Kind of Progressive: How Poles, Venezuelans, and Germans Reimagined Latin America","European
History
International
Latin America
Politics"
113154-21830157,STS Speaker Series. In the Flow: Affect and Protocol in US Medical Practice,"Anthropology
Medicine
Science, Technology, And Society Program"
113869-21831842,Pre-Concert Lecture: University Symphony Orchestra,"Culture
Discussion
Faculty
Free
In Person
Lecture
Music
Talk"
113920-21831914,Predicting cell fate from cell signaling in 2D human gastruloids using iterative immunofluorescence,"Basic Science
Biology
Biosciences
Science"
114045-21832250,Veterans Week 2023,"Diversity Equity and Inclusion
military
Military Families
veteran
Veteran And Military
Veterans Week"
114677-21833294,Arsenic and Aging: Epigenetic damage over a lifetime and beyond,"Basic Science
Biosciences
Chemistry
Civil and Environmental Engineering
Ecology
Environment
environmental
Free
Health
Interdisciplinary
Lecture
Life Science
Lifelong Learning
Medicine
Natural Sciences
Nutrition
Pre-Health
Public Health
Public Policy
Research
Science
seminar
Talk
Virtual"
111713-21827490,"LRCCS Noon Lecture Series | Righteous Revolutionaries: Morality, Mobilization, and Violence in the Making of the Chinese State","Asia
China"
114188-21832453,Veterans Week:  Iraq and Afghanistan War Panel,"Diversity Equity and Inclusion
military
Public Policy
veteran
Veteran And Military
Veterans Week
Veteras Week
War
War/conflict"
114348-21832769,PhD Research Talk: Baoyu Zhou,"Graduate
Graduate and Professional Students
Graduate School
Graduate Students
Industrial & Operations Engineering
Industrial And Operations Engineering
Ioephdstudents
Ioephdtalks"
114300-21832619,Weiser Center for Real Estate x UCREW Speaker Series,"Architecture
Architecture, Urban Planning
Civil and Environmental Engineering
planning
real estate
Transportation, Urban Planning
urban planning"
114862-21833708,A Conversation  on the Future  of the Engaged Humanities,"american culture
art museum
celebration
Department Of American Culture
Department Of English Language And Literature
discussion
English
English Department
English Language & Literataure
English Language & Literature
English Language And Literature
English Languange & Literature
Faculty
Food
Free
Humanities
In Person
institute for the humanities
Museum
Talk
UMMA"
110235-21824652,"""Navigating Memory and Fantasy in the Digital Realm""","Art
Exhibition
Humanities
Theme Semester
Visual Arts"
114045-21832251,Veterans Week 2023,"Diversity Equity and Inclusion
military
Military Families
veteran
Veteran And Military
Veterans Week"
111383-21826920,Brown Bag Seminar | Near-Extremal Black Hole Entropies from Replica Matrices,"brown bag
Brown Bag Seminar
Physics"
114648-21833254,MPSDS JPSM Seminar Series - 2020 California Neighborhoods Count: A validation of U.S. Census Population Counts and Housing Characteristic Estimates within California,"2020 Election
american culture
Anthropology
Bias
brown bag
Center For Political Studies
Cognition
Data
Data Collection
Data Curation
Data Linkage
Data Management
Data Science
Demography
Economics
Free
In Person
Lecture
Macroeconomics
Mathematics
Political Science
Population Studies Center
Public Policy
Science
Social Impact
Social Science
Sociology
Survey Methodology
Survey Research
Talk"
110300-21832338,UMSN Health Equity Leadership Series,"Activism
Chile
Diabetes
Diversity Equity and Inclusion
health care
Health Disparities
Health Professions
Housing
Humanities
lecture
Multicultural
Native American
nursing
Professional Development
public health
social justice
Stigma
Talk
women's health"
114189-21832455,Veterans Week:  In Harm's Way: The Sinking of the USS Indianapolis,"history
military
navy
War
world war ii
wwii"
115075-21834017,Reviving research on the Mazon Creek flora,Museum Of Paleontology
114464-21832914,VICTORIAN POETRY AROUND THE GLOBE,"Books
Classical Studies
classics
Comparative
comparative literature
Complit
Department Of English Language And Literature
Discussion
English
English Department
English Language & Literataure
English Language & Literature
English Language And Literature
English Languange & Literature
History
Panel
poetry
Talk"
112874-21829698,Institute for Social Change Keynote: Community as Rebellion,"Diversity
Graduate Students"
113478-21831079,"POLICY TALKS @ THE FORD SCHOOL, GILBERT S. OMENN AND MARTHA A. DARLING HEALTH POLICY FUND","Activism
Discussion
Diversity
Diversity Equity and Inclusion
In Person
Politics
Social Impact
Social Justice"
114080-21832309,Weekly DCMB / CCMB Seminar,"Applications
Basic Science
Biology
Biomedical Engineering
Biosciences
Cardiovascular
Chemistry
Discussion
Education
Electrical Engineering and Computer Science
Engineering
Free
Graduate Students
Human Genetics
Information and Technology
Learning Health Systems
Lecture
Life Science
Mathematics
Medicine
Michigan Engineering
Pediatrics
Physics
Precision Health
Public Health
Research
Science
seminar
Structural Biology
Talk"
113794-21831699,"Poetry, Translation, and Solidarity during War","Jewish Studies
Judaic
judaic studies
Poetry
Religion
Religious
Ukraine"
110975-21825951,17th Annual Prechter Lecture,"Bipolar
Depression
Discussion
Free
Health
Lecture
Mental Health
Psychiatry
Research
Wellness"
114740-21833402,Dr. Andrew Marshall Faculty Talk,"biodiversity
Biology
Biosciences
Career
department of ecology and evolutionary biology
Ecology
Ecology & Biology
Ecology And Evolutionary Biology
Food
Free
Lecture
Natural Sciences"
